qreg[1]0 qreg[2]0,qreg[2]1 qreg[5]1
qreg[0]0 qreg[1]1,qreg[0]1 qreg[3]1
qreg[0]0 qreg[1]1,qreg[1]0 qreg[2]0
qreg[0]0 qreg[1]1,qreg[1]2 qreg[4]3
qreg[4]0 qreg[7]0,qreg[7]1 qreg[8]0
qreg[3]0 qreg[4]1,qreg[4]0 qreg[7]0
qreg[3]0 qreg[4]1,qreg[4]2 qreg[5]0
qreg[0]1 qreg[3]1,qreg[3]0 qreg[4]1
qreg[0]1 qreg[3]1,qreg[3]2 qreg[6]1
qreg[1]2 qreg[4]3,qreg[4]2 qreg[5]0
qreg[2]1 qreg[5]1,qreg[4]2 qreg[5]0
qreg[2]1 qreg[5]1,qreg[5]2 qreg[8]1
qreg[5]2 qreg[8]1,qreg[7]1 qreg[8]0
qreg[6]0 qreg[7]2,qreg[7]1 qreg[8]0
qreg[3]2 qreg[6]1,qreg[6]0 qreg[7]2
